Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Correct Set Size,Average Iteration Age of Correct Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,# Rules Removed via Rule Compaction,Total Global Time,Total Matching Time,Total Covering Time,Total Crossover Time,Total Mutation Time,Total Attribute Tracking Time,Total Expert Knowledge Time,Total Model Initialization Time,Total Classifier Add Time,Total Rule Compaction Time,Total Deletion Time,Total Subsumption Time,Total Selection Time,Total Evaluation Time
20,0.8095238095238095,0,14,14,2,1,13.0,0,0,0,0,0,0,0.009026050567626953,0.0003185272216796875,0.0002932548522949219,0.0,0.0,0.006775379180908203,4.220008850097656e-05,0.006193876266479492,1.430511474609375e-05,0.0,9.298324584960938e-06,0.0,0.0,0.0010547637939453125
21,0.8181818181818182,0,15,15,1,1,21.0,0,0,0,1,0,0,0.009154081344604492,0.00034427642822265625,0.00030422210693359375,0.0,0.0,0.006803274154663086,4.220008850097656e-05,0.006193876266479492,1.5497207641601562e-05,0.0,1.0251998901367188e-05,0.0,0.0,0.0010957717895507812
22,0.8260869565217391,0,15,15,1,1,4.0,0,0,0,0,0,0,0.009269952774047852,0.00036907196044921875,0.00030541419982910156,0.0,0.0,0.006829977035522461,4.220008850097656e-05,0.006193876266479492,1.5497207641601562e-05,0.0,1.1444091796875e-05,0.0,0.0,0.0011401176452636719
23,0.7916666666666666,0,15,15,2,1,13.0,0,0,0,0,0,0,0.009389162063598633,0.00039124488830566406,0.00030541419982910156,0.0,0.0,0.006857872009277344,4.220008850097656e-05,0.006193876266479492,1.5497207641601562e-05,0.0,1.1444091796875e-05,0.0,0.0,0.0011861324310302734
24,0.76,0,16,16,2,1,24.0,0,0,0,1,0,0,0.009534120559692383,0.0004191398620605469,0.0003223419189453125,0.0,0.0,0.006886959075927734,4.220008850097656e-05,0.006193876266479492,1.6450881958007812e-05,0.0,1.1444091796875e-05,0.0,0.0,0.0012323856353759766
25,0.7307692307692307,0,17,17,2,1,25.0,0,0,0,1,0,0,0.009668111801147461,0.0004432201385498047,0.0003349781036376953,0.0,0.0,0.006914854049682617,4.220008850097656e-05,0.006193876266479492,1.7642974853515625e-05,0.0,1.239776611328125e-05,0.0,0.0,0.0012784004211425781
26,0.7037037037037037,0,17,17,2,1,13.0,0,0,0,0,0,0,0.009789228439331055,0.000469207763671875,0.0003361701965332031,0.0,0.0,0.0069429874420166016,4.220008850097656e-05,0.006193876266479492,1.7642974853515625e-05,0.0,1.33514404296875e-05,0.0,0.0,0.0013234615325927734
27,0.7142857142857143,0,18,18,1,1,27.0,0,0,0,1,0,0,0.009942054748535156,0.0005021095275878906,0.0003592967987060547,0.0,0.0,0.006976127624511719,4.220008850097656e-05,0.006193876266479492,1.8835067749023438e-05,0.0,1.430511474609375e-05,0.0,0.0,0.0013663768768310547
28,0.7241379310344828,0,18,18,2,1,25.0,0,0,0,0,0,0,0.010158061981201172,0.0005640983581542969,0.0003592967987060547,0.0,0.0,0.0070111751556396484,4.220008850097656e-05,0.006193876266479492,1.8835067749023438e-05,0.0,1.430511474609375e-05,0.0,0.0,0.001455545425415039
29,0.7333333333333333,0,18,18,2,1,13.0,0,0,0,0,0,0,0.010314226150512695,0.0006072521209716797,0.0003592967987060547,0.0,0.0,0.007039070129394531,4.220008850097656e-05,0.006193876266479492,1.8835067749023438e-05,0.0,1.5497207641601562e-05,0.0,0.0,0.0015168190002441406
