Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Correct Set Size,Average Iteration Age of Correct Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,# Rules Removed via Rule Compaction,Total Global Time,Total Matching Time,Total Covering Time,Total Crossover Time,Total Mutation Time,Total Attribute Tracking Time,Total Expert Knowledge Time,Total Model Initialization Time,Total Classifier Add Time,Total Rule Compaction Time,Total Deletion Time,Total Subsumption Time,Total Selection Time,Total Evaluation Time
29,0.7333333333333333,0,18,18,2,1,29.0,0,0,0,1,0,0,0.6253402233123779,0.0007493495941162109,0.0004329681396484375,0.0,0.0,0.047951698303222656,2.8848648071289062e-05,0.6204440593719482,1.9073486328125e-05,0.0,2.1219253540039062e-05,0.0,0.0,0.001722574234008789
30,0.7419354838709677,0,19,19,2,1,30.0,0,0,0,1,0,0,0.6255390644073486,0.0007951259613037109,0.0004642009735107422,0.0,0.0,0.047992706298828125,2.8848648071289062e-05,0.6204440593719482,2.002716064453125e-05,0.0,2.2172927856445312e-05,0.0,0.0,0.0017774105072021484
31,0.75,0,20,20,1,1,31.0,0,0,0,1,0,0,0.6257340908050537,0.0008432865142822266,0.000492095947265625,0.0,0.0,0.04803466796875,2.8848648071289062e-05,0.6204440593719482,2.1219253540039062e-05,0.0,2.3126602172851562e-05,0.0,0.0,0.0018296241760253906
32,0.7272727272727273,0,21,21,2,1,32.0,0,0,0,1,0,0,0.6259152889251709,0.0008902549743652344,0.0005052089691162109,0.0,0.0,0.048070669174194336,2.8848648071289062e-05,0.6204440593719482,2.2411346435546875e-05,0.0,2.384185791015625e-05,0.0,0.0,0.0018854141235351562
33,0.7058823529411765,0,21,21,2,1,14.0,0,0,0,0,0,0,0.6260790824890137,0.0009362697601318359,0.0005061626434326172,0.0,0.0,0.048105478286743164,2.8848648071289062e-05,0.6204440593719482,2.2411346435546875e-05,0.0,2.5033950805664062e-05,0.0,0.0,0.001939535140991211
34,0.7142857142857143,0,23,23,2,1,7.0,0,0,2,0,0,0,0.6270389556884766,0.000978708267211914,0.0005068778991699219,0.0,0.0005359649658203125,0.04824638366699219,2.8848648071289062e-05,0.6204440593719482,4.887580871582031e-05,0.0,2.5033950805664062e-05,3.886222839355469e-05,7.414817810058594e-05,0.001992464065551758
35,0.6944444444444444,0,23,23,2,1,11.0,0,0,0,0,0,0,0.6272399425506592,0.0010268688201904297,0.0005078315734863281,0.0,0.0005359649658203125,0.048287391662597656,2.8848648071289062e-05,0.6204440593719482,4.887580871582031e-05,0.0,2.5987625122070312e-05,3.886222839355469e-05,7.414817810058594e-05,0.0020685195922851562
36,0.6756756756756757,0,23,23,3,2,27.0,0,0,0,0,0,0,0.6274302005767822,0.0010771751403808594,0.0005087852478027344,0.0,0.0005359649658203125,0.048325300216674805,2.8848648071289062e-05,0.6204440593719482,4.887580871582031e-05,0.0,2.5987625122070312e-05,3.886222839355469e-05,7.414817810058594e-05,0.0021314620971679688
37,0.6578947368421053,0,23,23,3,1,14.0,0,0,0,0,0,0,0.6276102066040039,0.001127004623413086,0.0005099773406982422,0.0,0.0005359649658203125,0.04836249351501465,2.8848648071289062e-05,0.6204440593719482,4.887580871582031e-05,0.0,2.7179718017578125e-05,3.886222839355469e-05,7.414817810058594e-05,0.002191305160522461
38,0.6410256410256411,0,23,23,2,1,20.0,0,0,0,0,0,0,0.6277821063995361,0.001177072525024414,0.0005099773406982422,0.0,0.0005359649658203125,0.048398733139038086,2.8848648071289062e-05,0.6204440593719482,4.887580871582031e-05,0.0,2.7894973754882812e-05,3.886222839355469e-05,7.414817810058594e-05,0.0022482872009277344
39,0.625,0,23,23,5,3,25.333333333333332,0,0,0,0,0,0,0.6280601024627686,0.0012679100036621094,0.0005099773406982422,0.0,0.0005359649658203125,0.04844474792480469,2.8848648071289062e-05,0.6204440593719482,4.887580871582031e-05,0.0,2.9087066650390625e-05,3.886222839355469e-05,7.414817810058594e-05,0.002340078353881836
40,0.6097560975609756,0,25,25,4,2,8.0,0,0,2,0,0,0,0.628554105758667,0.001317739486694336,0.0005099773406982422,0.0,0.0007197856903076172,0.0484919548034668,2.8848648071289062e-05,0.6204440593719482,7.987022399902344e-05,0.0,3.0279159545898438e-05,7.796287536621094e-05,9.322166442871094e-05,0.002408742904663086
41,0.6190476190476191,0,25,25,2,1,20.0,0,0,0,0,0,0,0.6287579536437988,0.0013778209686279297,0.0005106925964355469,0.0,0.0007197856903076172,0.04853224754333496,2.8848648071289062e-05,0.6204440593719482,7.987022399902344e-05,0.0,3.123283386230469e-05,7.796287536621094e-05,9.322166442871094e-05,0.0024797916412353516
