cig_stat,cig_stop,cig_years,pack_years,total_alcadj,total_fatadj,tot_Kcal,totalcarbadj,total_proteinadj,totalfolate_NDSRadj,total_GlyIndex,total_GlyLoad,totalcholadj,Totalredmeatadj,totalCALCIUMadj,bmi_curc,bmi_curr,diabetes_f,panc_fh,fh_cancer,bmi_20,bmi_50,asp,asppd,ibup,ibuppd,gallblad_f,liver_comorbidity,age,agelevel,educat,race7,total_Marital,occupat,center,rndyear,sex,panc_type01,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,"-959.9991,3487.4435056",#,#,1.0,#,#,0.0,0.0,0.0,0.0,#,#,#,#,#,#,#,#,#,#,1.0,1.0,0.12276214833759591,0.12276214833759591,1,269.1113930764984,19996,9949,0.1891891891891892,0.001074759488911865,192,1564,True
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,7.0,#,#,#,1997.0,#,1.0,1.0,1.0,1,34.39591168,19341,10165,0.05405405405405406,0.00013736814348601733,12,12,True
#,#,"-959.9991,1751.5524567896216",#,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,0.852593793422881,0.852593793422881,1,221.59000918423968,19990,10219,0.05405405405405406,0.0009396977483053698,7363,8636,True
#,#,"-959.9991,2730.9974800000005",#,#,#,#,#,#,#,#,"-959.9991,2065.846155",#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,"-959.9991,2519.997705",#,#,#,#,#,#,1994.0,#,1.0,0.16606929510155316,0.16606929510155316,1,262.36299701674386,19996,10272,0.10810810810810811,0.0010478081858947723,139,837,True
#,#,"-959.9991,2058.99811",#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,#,#,#,#,#,#,6.0,#,#,#,3.0,#,#,#,#,#,#,#,1.0,0.12857142857142856,0.12857142857142856,1,226.697987812495,19448,10272,0.10810810810810811,0.0009053716036817728,9,70,True
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,"-959.9991,2887.9973449999998",#,#,1.0,#,#,#,#,2.0,1.0,0.3806497175141243,0.3806497175141243,2,187.42066180855812,19972,10483,0.08108108108108109,0.0014970167735680348,539,1416,True
#,#,#,#,#,#,"-115.2987949999997,4935.5998500000005",#,#,#,#,#,#,"-959.9991,2736.0299383700003",#,2.0,#,#,#,#,"-959.9991,3625.1395976",#,#,#,#,#,#,#,#,1.0,#,#,1.0,#,#,#,#,0.0,0.8633440514469454,0.8633440514469454,1,229.9438273549288,19914,10590,0.16216216216216217,0.0009183346254544127,537,622,True
#,#,"-959.9991,2399.99775",#,#,#,#,#,"-959.9991,-403.0689201478299",#,#,#,"-959.9991,1488.09644933",#,#,#,#,0.0,#,0.0,#,#,#,#,#,#,#,#,#,#,#,1.0,#,4.0,#,#,#,0.0,0.09559164733178654,0.9559164733178654,1,262.0,10797,10797,0.1891891891891892,0.0010463584721396907,0,0,True
0.0,#,#,#,#,#,#,#,"-959.9991,3408.0327622399996",#,#,#,#,#,"-959.9991,1873.0287315799999",#,#,#,#,#,#,#,#,#,1.0,#,#,#,#,#,#,#,#,#,#,#,#,0.0,0.8740359897172236,0.8740359897172236,1,199.2319793322307,19979,10821,0.10810810810810811,0.0007699519954635176,680,778,True
#,#,#,"-959.9991,221.0522090861",#,#,#,#,#,#,#,"-959.9991,2077.748155",#,#,#,#,#,#,#,0.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,2.0,1.0,0.2601626016260163,0.2601626016260163,1,158.48904862884683,19972,10881,0.10810810810810811,0.0006329632014280661,160,615,True
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,3.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,5.0,#,#,#,#,#,2.0,1.0,0.4621212121212121,0.4621212121212121,1,199.76095505414781,19871,10881,0.08108108108108109,0.0007977922432199372,61,132,True
#,#,#,#,#,#,"-635.73802,3588.25802",#,#,#,#,"-959.9991,2526.93875","-959.9991,1488.09644933",#,"-959.9991,2544.41373375",#,#,#,#,#,#,#,#,#,1.0,#,#,#,#,#,#,#,#,#,#,#,1.0,0.0,0.9131025118805159,0.9131025118805159,1,218.53609193186657,19979,10906,0.16216216216216217,0.0008663213741169887,1345,1473,True
