Specified Values,Specified Attribute Names,Class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
"1.0, 1.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, R_5, R_14, R_15",0.0,1.0,1.0,6,37.192009884736116,9980,3807,0.3,0.0015874595316846109,98,98,False
"0.0, 0.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, R_2, R_7, R_10",1.0,0.27573122273134587,0.8791208791208791,1,50.42444854378371,9963,3819,0.3,0.0003587095351880111,80,91,False
"0.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, A_3, R_4",0.0,1.0,1.0,8,55.063400167620976,9992,3820,0.25,0.003133680942544885,203,203,False
"1.0, 1.0, 1.0, 1.0, 1.0, 1.0","A_1, A_2, A_3, R_7, R_11, R_15",1.0,1.0,1.0,2,65.9479009460687,9971,3833,0.3,0.0009382805991204286,108,108,False
"1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0","A_0, A_1, A_2, A_3, R_0, R_7, R_10",1.0,1.0,1.0,1,48.5524198930677,9882,3862,0.35,0.00034539229431478866,46,46,False
"1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, R_1, R_5, R_8, R_14",0.0,0.358243792180646,0.9024390243902439,1,42.38029098532265,9862,3891,0.35,0.0003014849922905476,37,41,False
"1.0, 1.0, 0.0, 1.0, 1.0","A_0, A_2, A_3, R_10, R_14",1.0,1.0,1.0,3,59.035906511166125,9977,3931,0.25,0.0012599092223469005,205,205,False
"1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0","A_3, R_4, R_6, R_7, R_10, R_12, R_14, R_15",1.0,0.4343884542236323,0.92,1,51.33025153332683,9254,3945,0.4,0.0003651532381681001,23,25,False
"1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0","A_2, A_3, R_3, R_4, R_7, R_11, R_14",0.0,0.4059558090767436,0.9137931034482759,1,51.524487220048535,9879,3981,0.35,0.00036653499235506695,53,58,False
"0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0","A_0, A_2, A_3, R_2, R_9, R_10, R_12",1.0,0.08749087064238434,0.7837837837837838,1,38.46207985200495,9907,3988,0.35,0.0002736116146931608,29,37,False
"1.0, 0.0, 0.0, 1.0, 1.0","A_1, A_2, A_3, R_4, R_12",1.0,1.0,1.0,5,53.34273126089615,9940,3993,0.25,0.00189734810085632,182,182,False
"0.0, 1.0, 0.0, 0.0, 0.0","A_1, A_2, A_3, R_2, R_10",0.0,1.0,1.0,6,50.63173280477348,9983,3999,0.25,0.0021611046860802456,190,190,False
"0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0","A_0, A_1, A_2, A_3, R_0, R_1, R_4, R_14",0.0,1.0,1.0,1,62.38230739617844,9919,4017,0.4,0.00044377537357912134,26,26,False
"1.0, 0.0, 0.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, R_2, R_8, R_9",0.0,1.0,1.0,1,46.205051893417185,9998,4149,0.3,0.00032869358350313315,83,83,False
"1.0, 0.0, 0.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, A_3, R_1, R_8",0.0,1.0,1.0,3,52.72065870507401,9861,4192,0.3,0.0011251329578239435,87,87,False
"0.0, 0.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, R_0, R_1",0.0,1.0,1.0,9,52.85772835023066,9974,4280,0.25,0.0033841746501258583,152,152,False
"1.0, 1.0, 1.0, 0.0, 1.0, 1.0","A_1, A_2, A_3, R_6, R_7, R_15",1.0,1.0,1.0,2,59.801256983305564,9971,4299,0.3,0.0008508285847693158,103,103,False
"0.0, 0.0, 0.0, 0.0, 1.0, 1.0","A_0, A_1, A_2, A_3, R_0, R_11",1.0,1.0,1.0,4,45.12366463998613,9930,4306,0.3,0.0012840032354491304,99,99,False
"1.0, 1.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, A_3, R_2, R_13, R_15",1.0,1.0,1.0,4,66.59782986456109,9971,4315,0.3,0.0018950550604041863,102,102,False
"1.0, 0.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, A_3, R_10, R_12",0.0,1.0,1.0,6,51.53426453171791,9983,4327,0.3,0.0021996272772772793,91,91,False
"0.0, 0.0, 0.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, A_3, R_0, R_1",0.0,1.0,1.0,5,57.6206726832023,9839,4414,0.3,0.0020495102388145103,70,70,False
"0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, A_3, R_0, R_1, R_15",1.0,1.0,1.0,1,51.00196361512661,9788,4429,0.35,0.00036281786296923826,53,53,False
"0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0","A_0, A_2, A_3, R_0, R_4, R_9, R_15",1.0,1.0,1.0,1,40.23989467677224,9803,4458,0.35,0.0002862586370773302,34,34,False
